Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
6969_24	0	10	4	0	6	0	11	51	0	0
6969_25	0	11	7	2	5	1	17	51	0	0
6969_26	0	0	1	0	3	1	0	5	0	0
6969_27	0	22	9	1	15	3	23	114	0	1
6969_28	0	10	1	1	5	0	7	32	0	0
6969_29	0	14	4	0	7	0	15	39	0	1
6969_30	0	1	1	0	3	0	5	23	0	0
6969_31	0	12	4	0	11	1	8	59	0	0
6969_32	0	11	7	0	1	0	12	54	0	1
6969_33	0	6	1	0	5	0	10	30	0	0
6969_34	0	1	0	0	1	1	1	15	0	0
6969_35	0	2	1	0	2	0	1	13	0	0
6969_36	1	6	5	0	3	0	4	35	0	0
6969_37	0	19	9	0	9	4	16	71	0	0
6969_38	1	5	3	0	4	0	8	33	0	0
6969_39	0	3	3	0	2	0	11	39	0	0
6969_40	0	4	6	0	3	0	11	32	0	0
6969_41	0	9	1	0	3	0	7	39	0	0
6969_42	0	1	0	0	0	0	6	15	0	0
6969_43	0	10	5	0	11	0	19	50	0	0
6969_44	0	13	3	0	4	1	12	49	0	0
6969_45	0	15	5	0	8	0	13	80	0	0
6969_46	1	14	5	0	3	0	10	38	1	0
6969_47	0	11	1	1	10	0	15	51	1	0
6979_1	1	0	0	0	8	1	21	0	0	0
6979_2	0	0	0	0	5	0	22	0	0	0
6979_3	0	0	0	0	2	0	7	0	0	0
6979_4	2	0	0	0	3	1	14	0	1	0
6981_1	0	0	0	0	0	0	4	0	0	0
6981_2	0	0	0	0	0	0	9	0	0	0
6981_3	0	0	0	0	2	0	6	0	0	0
6987_1	12	0	9	22	2	0	0	0	1	9
6987_2	7	0	3	3	0	0	0	0	0	7
6987_3	16	0	16	12	2	2	1	0	0	14
6987_4	26	1	8	8	3	2	0	0	0	17
6987_5	5	0	3	7	0	5	0	0	0	8
6987_6	15	0	22	15	3	0	2	1	0	15
6987_7	2	0	0	0	0	0	0	0	0	2
6996_1	1	0	5	26	0	0	0	0	1	0
6996_2	0	0	9	24	0	0	0	0	1	0
6996_3	0	0	5	28	0	0	0	0	0	0
6996_4	0	0	10	12	0	0	0	0	1	3
6996_5	0	0	1	1	0	0	0	0	0	0
1797_1	0	0	0	0	0	0	0	8	0	0
1797_2	0	0	0	0	0	0	0	23	0	0
1797_3	0	0	0	0	0	0	0	13	0	0
7014_1	25	12	20	8	2	2	14	14	0	31
7014_2	17	14	4	4	1	2	7	9	0	19
7014_3	19	13	11	5	3	0	12	10	2	35
7014_4	9	11	6	2	0	0	0	3	0	11
7014_5	12	7	8	6	0	0	10	5	0	14
7014_6	9	3	5	5	0	0	6	2	0	9
7014_7	15	19	7	12	2	1	9	8	0	36
7014_8	13	7	9	3	0	4	7	4	0	17
7014_9	29	27	16	12	4	2	24	13	0	40
7014_10	21	16	12	10	2	1	11	4	0	20
7014_11	6	1	2	1	1	0	2	3	0	9
7014_12	21	24	16	11	0	3	14	12	0	38
7014_13	4	2	2	4	0	0	5	2	0	7
7014_14	18	20	12	10	2	2	6	13	0	33
7014_15	27	33	21	16	5	4	17	22	0	37
7014_16	5	2	1	2	1	0	5	1	0	9
7026_1	0	0	0	1	0	1	0	0	8	5
7031_1	0	0	2	7	1	5	1	0	0	3
7031_2	3	0	1	3	0	0	0	0	3	5
7046_1	26	15	16	5	2	5	12	21	0	27
7046_2	5	7	4	6	0	0	3	8	0	18
7046_3	9	2	6	3	0	0	5	5	0	8
7046_4	2	8	7	5	1	1	2	2	0	7
7046_5	21	32	22	13	8	3	19	9	0	37
7046_6	20	29	19	9	5	0	10	14	1	48
7046_7	12	16	11	7	3	1	20	18	0	32
7046_8	27	10	15	5	0	1	8	4	0	24
7046_9	16	18	21	12	3	0	21	16	2	36
7046_10	104	101	60	42	10	16	65	64	1	145
7046_11	46	53	36	29	5	8	35	33	0	69
7046_12	16	15	14	10	4	2	13	8	0	25
7046_13	39	28	32	15	8	7	20	18	0	54
7046_14	13	10	12	13	1	1	13	17	0	35
7046_15	55	53	32	29	10	12	36	40	0	94
1804_1	0	0	3	0	0	0	0	0	0	23
1805_1	0	0	8	20	0	0	0	0	0	0
1805_2	0	0	4	7	0	0	0	0	4	1
7051_1	3	1	1	7	0	11	2	1	1	387
7051_2	3	0	4	5	0	1	0	0	0	6
7058_1	0	0	0	0	3	0	18	0	0	0
7058_2	0	0	0	0	3	0	14	0	0	0
7058_3	0	0	0	0	3	0	14	0	0	1
7058_4	0	0	0	1	10	0	48	0	0	1
7058_5	0	0	0	0	0	0	7	0	0	0
7058_6	0	0	0	0	1	0	5	0	0	0
7061_1	0	0	0	0	9	0	27	0	0	0
7061_2	0	0	0	0	1	0	3	0	1	0
7061_3	0	0	0	0	2	0	15	0	1	0
7061_4	0	0	0	0	5	0	12	1	0	0
1807_1	0	0	0	0	0	2	0	0	1	14
7064_1	2	0	1	4	0	2	0	0	1	3
7064_2	6	2	1	11	6	12	2	4	2	5
7067_1	0	0	0	0	0	1	0	0	0	12
7073_1	7	0	11	15	0	6	0	0	15	23
7073_2	0	0	3	7	0	3	0	0	10	15
7073_3	0	2	0	1	0	7	0	0	11	18
7074_1	0	0	0	0	0	0	0	0	7	0
7074_2	0	0	0	0	0	1	0	0	21	0
7074_3	0	0	0	0	0	1	0	0	5	0
7075_1	0	1	0	0	0	0	10	0	0	0
7075_2	0	0	0	0	7	0	15	0	1	0
7088_1	2	0	0	2	0	0	0	0	0	1
7088_2	4	0	2	7	0	1	0	0	0	3
7088_3	4	0	1	4	0	1	0	0	0	5
7088_4	34	0	24	28	5	3	1	0	0	31
7088_5	8	0	2	10	2	0	0	0	0	7
7088_6	10	0	5	6	0	1	1	0	0	19
7088_7	15	0	10	18	5	2	1	0	0	23
7088_8	9	1	4	10	1	1	0	0	0	20
7088_9	22	0	16	11	4	1	1	0	0	16
7088_10	10	0	9	8	1	0	0	0	0	13
7088_11	8	0	3	6	1	1	0	0	0	4
