Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_12795	0	0	0	1	0	0	0	42	0	0
k141_88055	7	10	3	3	15	2	9	0	0	4
k141_75573	19	0	0	1	2	9	0	0	20	21
k141_62950	83	1	32	39	1	10	1	1	3	13
k141_237	2	97	0	1	143	24	351	14	2	0
k141_62952	0	0	0	0	6	0	35	0	0	0
k141_12799	89	0	110	58	9	38	0	0	32	39
k141_250	6	0	0	0	1	1	0	0	5	2
k141_251	0	0	5	30	0	0	0	0	2	0
k141_62971	0	0	0	2	2	0	0	0	1	39
k141_12802	29	0	39	29	5	14	0	0	7	21
k141_62973	0	0	0	0	0	1	0	0	25	0
k141_62974	8	6	8	2	4	0	6	0	0	2
k141_75575	1	3	3	3	8	13	0	1	266	5
k141_88059	50	109	22	38	53	4	67	288	135	7
k141_12807	3	0	0	2	0	3	0	1	6	2
k141_62976	0	0	8	11	0	0	0	0	2	0
k141_88061	0	2	1	0	4	6	0	1	7	26
k141_12808	18	0	5	5	0	1	0	0	0	3
k141_75579	0	1	11	41	1	6	0	0	8	9
k141_261	0	8	0	1	57	37	0	26	0	1
k141_62979	15	2	6	15	9	23	0	0	58	93
k141_266	4	0	1	0	0	1	0	0	9	2
k141_88065	1	0	0	0	20	0	53	0	0	0
k141_75580	18	24	12	12	29	11	28	1	0	12
k141_88066	2	5	1	7	2	8	0	0	0	8
k141_12809	4	18	0	0	83	50	2	57	1	0
k141_62983	1	0	0	0	0	2	0	0	0	32
k141_268	11	40	0	0	8	0	2	0	3	10
k141_88074	0	0	1	0	5	0	12	0	0	0
k141_62984	0	7	0	0	39	25	2	13	0	0
k141_12818	0	0	0	0	0	4	0	0	50	1
k141_75596	0	0	0	0	6	0	16	0	1	0
k141_272	1	0	0	0	0	1	0	0	20	0
k141_88079	2	0	0	2	0	1	0	0	17	5
k141_50278	515	1115	559	755	2220	364	1467	1829	1231	498
k141_62991	0	0	0	0	9	0	39	0	0	0
k141_88085	0	0	0	0	0	0	0	0	5	40
k141_75604	0	0	7	6	0	1	0	0	3	0
k141_62993	0	0	0	0	13	0	21	0	0	3
k141_75606	0	0	6	9	0	0	0	0	8	0
k141_50285	0	0	0	0	11	0	10	0	0	0
k141_62997	0	0	0	0	9	1	76	0	0	0
k141_88095	0	0	0	2	5	0	28	0	0	1
k141_62998	11	0	0	0	0	2	0	0	0	1
k141_75613	3	0	3	11	1	8	1	2	2	12
k141_25300	1613	1293	1073	669	193	202	901	838	8	2122
k141_50294	0	0	0	0	53	0	161	0	0	0
k141_75615	1	0	0	0	0	0	0	0	2	12
k141_88096	0	0	0	0	15	0	47	0	0	0
k141_25303	3	16	3	1	28	3	3	1	0	3
k141_75618	1	0	1	0	0	0	0	0	0	34
k141_50299	0	0	2	4	1	4	0	1	72	1
k141_63018	3	2	3	5	2	3	7	0	2	1
k141_281	80	139	41	30	62	13	98	395	235	10
k141_88107	1	0	6	29	0	3	0	0	0	0
k141_282	0	0	0	0	0	1	0	0	21	0
k141_88108	0	0	0	0	0	0	0	41	0	0
k141_283	2	3	1	3	2	1	8	0	0	5
k141_12822	967	0	417	76	1	4	0	0	3	273
k141_88115	0	0	0	0	0	0	0	0	11	0
k141_63034	0	0	0	0	0	0	0	0	37	1
k141_284	0	0	0	0	0	0	0	95	0	0
k141_12824	0	0	0	0	9	0	25	0	0	0
k141_292	6	0	0	0	0	0	0	0	18	0
k141_63040	0	0	4	1	0	0	1	1	3	51
k141_88116	1	22	1	1	84	62	3	45	1	1
k141_63046	0	14	0	0	13	5	39	1	0	0
k141_25315	1	76	28	1	43	7	85	390	1	1
k141_88117	3	9	1	2	1	8	35	10	8	1
k141_297	12	23	12	16	27	11	23	1	2	10
