feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
440.337317@776.66[1]	76655.4766	50509.5703	51668.8906	57104.8516	34075.2695	30991.6699	22107.5801	34620.5312
327.141978@755.68[]	28185.8203	42624.3516	72957.0703	84237.0703	120008.0000	132969.0000	83347.7266	114662.5000
177.055025@809.16[]	54114.2617	49356.7383	61324.7305	52234.2891	56422.3086	65392.1484	56343.4883	54323.2383
367.963548@293.12[]	33719.3398	42709.6289	33368.1797	32212.0098	63905.2812	57216.9219	44735.1602	11423.1299
154.083611@73.02[]	383258.6875	293914.5938	342736.0000	333392.4062	236598.2031	283280.0938	276316.8125	226923.9062
1037.656357@829.06[1]	290076.0938	237172.0938	135003.7031	125926.2031	64647.3984	50103.1289	58369.8984	34910.5586
111.116829@526.84[]	25425.5996	22975.0996	28062.0898	23968.5898	14726.8301	13886.0000	27885.0508	24917.1699
220.089873@275.57[1]	316554.8125	185659.9062	182320.5938	184146.5938	166215.2031	216623.0000	169294.9062	184068.5938
166.086546@455.65[]	128612.8984	63394.3086	45860.8789	25972.6094	52502.0000	52995.6914	31470.8398	33909.1289
166.084481@51.22[1]	579311.3125	978752.6875	1396038.0000	1375389.0000	1845676.0000	1377556.0000	2120084.0000	2222305.0000
284.331384@797.85[]	113782.6016	111798.2969	58255.9883	69183.3984	59711.4297	47942.5000	85913.5234	117503.1016
376.260355@818.58[1]	1603843.0000	1403715.0000	1295929.0000	1116541.0000	1747174.0000	7426756.0000	1475215.0000	1534188.0000
158.118077@53.53[1]	2684381.0000	3614816.0000	3332172.0000	2952725.0000	3333684.0000	3496216.0000	2837854.0000	3579623.0000
255.194650@815.69[]	51853.3789	54873.3398	66286.4766	54963.8203	52468.8594	45606.5781	55663.8594	61287.2617
232.002920@299.52[]	51079.2383	47695.4492	55062.9805	55772.1719	37907.3086	44012.6016	53975.9414	74507.4297
911.478684@572.72[2]	237146.0938	109302.7969	78606.8672	49807.4219	122440.2031	48029.0195	95190.6172	100876.2031
1013.654066@840.63[1]	84619.3984	94353.7422	104206.2969	53682.9414	56717.3984	58134.3711	47363.6406	43044.7617
567.087955@275.86[]	34283.2109	15988.4902	16476.7109	17453.5000	11768.5703	20832.6406	12285.3604	15477.8799
590.426027@868.17[]	29278.4609	47289.8789	40622.8789	27374.0508	16548.3203	15497.5801	19765.4492	25085.0391
482.360867@863.34[1]	1112123.0000	1414377.0000	1002264.0000	369533.8125	536304.5000	534706.6875	381545.1875	417892.0000
973.624159@841.95[1]	62803.2812	63740.0898	78741.7578	29272.6406	38487.6992	54300.0117	36858.1914	42965.6289
975.640607@849.42[1]	195168.0000	226292.5000	160058.2969	75076.8203	86363.7734	102321.7969	74100.7031	63819.5586
1137.524033@854.05[1]	103826.5000	127851.5000	45672.1719	12480.2305	67920.0078	137079.2969	35252.1602	26252.5898
562.346278@803.09[]	292595.6875	311404.9062	75886.7031	55631.1289	23894.0898	74308.2031	33629.1719	33351.2695
564.584907@56.42[]	27245.6504	28251.0098	28883.9902	22592.4707	27367.8008	29534.0098	28730.0098	25003.7207
1019.633008@846.86[2]	40379.5898	55417.2188	75892.4688	45206.0195	56401.5703	58141.2383	54124.0117	59398.5391
